# Packet Log for ARS
# Started: 2025-12-08T12:22:02.736621
# Format: TIMESTAMP | PACKET_SIZE | HEX_DATA
# ================================================================================
2025-12-08T12:22:04.750206 |   27 | AA0000000000001400190000000000000000000000000000002D00
2025-12-08T12:22:04.753008 |   27 | AA0000000000001500190000000000000000000000000000002E00
2025-12-08T12:22:04.754919 |   27 | AA0000000000001600190000000000000000000000000000002F00
2025-12-08T12:22:04.756380 |   27 | AA0000000000001700190000000000000000000000000000003000
2025-12-08T12:22:04.759320 |   27 | AA0000000000001400190000000000000000000000000000002D00
2025-12-08T12:22:04.764192 |   27 | AA0000000000001500190000000000000000000000000000002E00
2025-12-08T12:22:04.766434 |   27 | AA0000000000001600190000000000000000000000000000002F00
2025-12-08T12:22:04.768903 |   27 | AA0000000000001700190000000000000000000000000000003000
2025-12-08T12:22:04.772920 |   27 | AA0000000000001400190000000000000000000000000000002D00
2025-12-08T12:22:04.774334 |   27 | AA0000000000001500190000000000000000000000000000002E00
2025-12-08T12:22:04.776664 |   27 | AA0000000000001600190000000000000000000000000000002F00
2025-12-08T12:22:04.779953 |   27 | AA0000000000001700190000000000000000000000000000003000
2025-12-08T12:22:04.783474 |   27 | AA0000000000001400190000000000000000000000000000002D00
2025-12-08T12:22:04.786063 |   27 | AA0000000000001500190000000000000000000000000000002E00
2025-12-08T12:22:04.789075 |   27 | AA0000000000001600190000000000000000000000000000002F00
2025-12-08T12:22:04.792220 |   27 | AA0000000000001700190000000000000000000000000000003000
2025-12-08T12:22:04.794302 |   27 | AA0000000000001400190000000000000000000000000000002D00
2025-12-08T12:22:04.795659 |   27 | AA0000000000001500190000000000000000000000000000002E00
2025-12-08T12:22:04.798372 |   27 | AA0000000000001600190000000000000000000000000000002F00
2025-12-08T12:22:04.805193 |   27 | AA0000000000001700190000000000000000000000000000003000
2025-12-08T12:22:04.807944 |   27 | AA0000000000001400190000000000000000000000000000002D00
2025-12-08T12:22:04.809214 |   27 | AA0000000000001500190000000000000000000000000000002E00
2025-12-08T12:22:04.810628 |   27 | AA0000000000001600190000000000000000000000000000002F00
2025-12-08T12:22:04.812061 |   27 | AA0000000000001700190000000000000000000000000000003000
2025-12-08T12:22:04.813471 |   27 | AA0000000000001400190000000000000000000000000000002D00
2025-12-08T12:22:04.814671 |   27 | AA0000000000001500190000000000000000000000000000002E00
2025-12-08T12:22:04.815838 |   27 | AA0000000000001600190000000000000000000000000000002F00
2025-12-08T12:22:04.817026 |   27 | AA0000000000001700190000000000000000000000000000003000
2025-12-08T12:22:04.818288 |   27 | AA0000000000001400190000000000000000000000000000002D00
2025-12-08T12:22:04.819998 |   27 | AA0000000000001500190000000000000000000000000000002E00
2025-12-08T12:22:04.821946 |   27 | AA0000000000001600190000000000000000000000000000002F00
2025-12-08T12:22:04.830384 |   27 | AA0000000000001700190000000000000000000000000000003000
2025-12-08T12:22:04.831663 |   27 | AA0000000000001400190000000000000000000000000000002D00
2025-12-08T12:22:04.833535 |   27 | AA0000000000001500190000000000000000000000000000002E00
2025-12-08T12:22:04.836931 |   27 | AA0000000000001600190000000000000000000000000000002F00
2025-12-08T12:22:04.839648 |   27 | AA0000000000001700190000000000000000000000000000003000
