# Raw TCP Data Log for MAGNETOMETER
# Started: 2025-12-08T12:22:02.744552
# Format: TIMESTAMP | PORT | HEX_DATA | FLOAT_VALUE
# ================================================================================
2025-12-08T12:22:36.983467 | 50052 | 1AE4BE0BB094063F | 4.3069479460e-05
2025-12-08T12:22:36.983882 | 50050 | FF696CEFC4D5053F | 4.1647026526e-05
2025-12-08T12:22:36.984570 | 50051 | 0063820212F0053F | 4.1842984787e-05
2025-12-08T12:22:37.082445 | 50050 | 3D5A6DB011E7043F | 3.9868571597e-05
2025-12-08T12:22:37.082718 | 50051 | 0329497E29B2053F | 4.1381732249e-05
2025-12-08T12:22:37.083785 | 50052 | 806A9C03668C063F | 4.3007720207e-05
2025-12-08T12:22:37.184558 | 50051 | 7EC09CE569AE053F | 4.1353804319e-05
2025-12-08T12:22:37.184793 | 50050 | 74FA6188107D043F | 3.9078776397e-05
2025-12-08T12:22:37.185902 | 50052 | AF48419F7EAB053F | 4.1332055759e-05
2025-12-08T12:22:37.283834 | 50052 | C8E03E6A9E43053F | 4.0558120673e-05
2025-12-08T12:22:37.284618 | 50051 | 2AB8BB75C0E1063F | 4.3643651876e-05
2025-12-08T12:22:37.284949 | 50050 | 8518809F932F043F | 3.8501446340e-05
2025-12-08T12:22:37.384847 | 50050 | 78975E2A36FA043F | 4.0011194229e-05
2025-12-08T12:22:37.384977 | 50051 | 1FAF4EA5B913063F | 4.2108633955e-05
2025-12-08T12:22:37.385243 | 50052 | E55728E16295063F | 4.3074684204e-05
2025-12-08T12:22:37.485610 | 50052 | 43B21EB8335D053F | 4.0748730512e-05
2025-12-08T12:22:37.486029 | 50050 | A93E96E6F2FE053F | 4.1953838102e-05
2025-12-08T12:22:37.486186 | 50051 | 4EF0CEBCE571053F | 4.0902923139e-05
2025-12-08T12:22:37.587096 | 50052 | 82997160DF6D053F | 4.0872935693e-05
2025-12-08T12:22:37.587366 | 50051 | CAF38905A803053F | 4.0081563104e-05
2025-12-08T12:22:37.587515 | 50050 | 26E625A81923053F | 4.0315838322e-05
2025-12-08T12:22:37.685538 | 50051 | 575550FF6599053F | 4.1197228633e-05
2025-12-08T12:22:37.690242 | 50050 | 29A4B6C15368043F | 3.8924270679e-05
2025-12-08T12:22:37.692035 | 50052 | 839CAA92910E053F | 4.0162866147e-05
2025-12-08T12:22:37.787486 | 50052 | A34DB91E62BB053F | 4.1450435529e-05
2025-12-08T12:22:37.787857 | 50050 | CD78D7D9E46D043F | 3.8965746380e-05
2025-12-08T12:22:37.788844 | 50051 | E0F308C4CC97053F | 4.1185318427e-05
2025-12-08T12:22:37.889221 | 50050 | C306980112E4053F | 4.1753577715e-05
2025-12-08T12:22:37.889728 | 50052 | 3931D8978FD7053F | 4.1660375228e-05
2025-12-08T12:22:37.889940 | 50051 | D4E8812F2156053F | 4.0696037048e-05
2025-12-08T12:22:37.986866 | 50052 | DE3202335C45053F | 4.0571094702e-05
2025-12-08T12:22:37.988659 | 50051 | A9156CBDD5DF063F | 4.3629370046e-05
2025-12-08T12:22:37.988952 | 50050 | 96F55342F199043F | 3.9293933051e-05
2025-12-08T12:22:38.087495 | 50050 | 47B94968010A043F | 3.8221519422e-05
2025-12-08T12:22:38.088612 | 50051 | 94D76974309E063F | 4.3140271875e-05
2025-12-08T12:22:38.089288 | 50052 | 0B19911E2C34063F | 4.2350384156e-05
2025-12-08T12:22:38.188456 | 50052 | A704E7685816063F | 4.2128155758e-05
2025-12-08T12:22:38.188734 | 50050 | E1762B209E06043F | 3.8196278202e-05
2025-12-08T12:22:38.189365 | 50051 | 5C13749CF59B063F | 4.3123658140e-05
2025-12-08T12:22:38.289460 | 50052 | 49E577F85434053F | 4.0444224449e-05
2025-12-08T12:22:38.290011 | 50051 | B5376DDF5A8E053F | 4.1114948479e-05
2025-12-08T12:22:38.290124 | 50050 | A62DF2D051E4043F | 3.9848086197e-05
